gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
30233	KLAM	2288	KLAM0002288		'421920121400001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
30233	KLAM	2288	KLAM0002288		'KLAM0002286'	Observation successor	gw_logid for the well that replaced this well for observation	10/22/2024
6389	KLAM	2289	KLAM0002289	81997	'37S/10E-30abc'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
6389	KLAM	2289	KLAM0002289	81997	'421936121411501'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
217	KLAM	2299	KLAM0002299		'422329121214901'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
218	KLAM	2303	KLAM0002303		'422319121213301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
9427	KLAM	2368	KLAM0002368		'37S/11.5E-15ccb'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
9427	KLAM	2368	KLAM0002368		'422123121312501'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
6366	KLAM	2379	KLAM0002379		'37S/11.5E-36add'	OWRD GWR 021	Leonard, A.R., and Harris, A.B., 1974, Ground water in selected areas in the Klamath Basin, Oregon: State of Oregon, Ground Water Report No. 21.	10/22/2024
6366	KLAM	2379	KLAM0002379		'421637121263001'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15507	KLAM	2383	KLAM0002383		'422338121154601'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
219	KLAM	2384	KLAM0002384		'422335121161901'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
220	KLAM	2402	KLAM0002402		'422337120595101'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15504	KLAM	2471	KLAM0002471		'421701121482201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15503	KLAM	2475	KLAM0002475		'421655121480701'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15502	KLAM	2476	KLAM0002476		'421640121544301'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15501	KLAM	2477	KLAM0002477		'421640121544101'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15494	KLAM	2484	KLAM0002484		'421554121490201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15495	KLAM	2490	KLAM0002490		'421602121485601'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15489	KLAM	2499	KLAM0002499		'421440121502601'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
15488	KLAM	2508	KLAM0002508		'421435121502201'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
14098	KLAM	10013	KLAM0010013		'420743121483401'	USGS SITE ID	U.S. Geological Survey Siteid	10/22/2024
